id,recipe_id,direction_number,direction,,
1,1,1,In a nonstick frying pan heat some cooking oil till it start to smoke,,
2,1,2,Add in the onion and stir cook until translucent,,
3,1,3,Add in the tomatoes and stir cook until it start to wilt,,
4,1,4,Season with salt to taste,,
5,1,5,Now bring the heat down to moderate to low,,
6,1,6,"Stir in the beaten eggs, stir sparingly or fold the mixture until the eggs sets",,
7,1,7,Serve with garlic fried rice or pandesal,,
8,2,1,Place carrots in a small saucepan and cover with water,,
9,2,2,Bring to a low boil and cook for 3 to 5 minutes,,
10,2,3,"Stir in peas, then immediately drain in a colander",,
11,2,4,Heat a wok over high heat,,
12,2,5,"Pour in vegetable oil, then stir in carrots, peas, and garlic; cook for about 30 seconds",,
13,2,6,Add eggs; stir quickly to scramble eggs with vegetables,,
14,2,7,Stir in cooked rice,,
15,2,8,Add soy sauce and toss rice to coat,,
16,2,9,Drizzle with sesame oil and toss again,,
17,3,1,Making this dish is quick and easy,,
18,3,2,The first thing to do is prepare the tofu,,
19,3,3,Make sure to use extra firm tofu for this recipe,,
20,3,4,This type is perfect for frying,,
21,3,5,Deep-fry the tofu slices until golden brown,,
22,3,6,Remove from the pot and then slice into cubes,,
23,3,7,Set it aside,,
24,3,8,"Start to cook the dish by saut?Ÿ??ing garlic, onion, and tomato",,
25,3,9,Heat oil in a wok or pan,,
26,3,10,Add the garlic and onion,,
27,3,11,Cook for 30 seconds,,
28,3,12,Put the chopped tomato and continue to saute until both onion and tomato softens,,
29,3,13,The garlic should be a bit brown at this point,,
30,3,14,Add shrimp and cook until it turns orangey,,
31,3,15,It is best to remove the head and shell of the shrimp before cooking,,
32,3,16,You can also use frozen shrimp for this recipe,,
33,3,17,Make sure to thaw it first before cooking,,
34,3,18,The fried tofu is added next,,
35,3,19,Give it a quick stir and then add the mung bean sprout and carrot,,
36,3,20,Toss and saute for 1 to 2 minutes,,
37,3,21,Next goes the bell peppers,,
38,3,22,Season with oyster sauce and ground black pepper,,
39,3,23,Fish sauce or patis can also be used as a substitute to oyster sauce,,
40,3,24,Add the shrimp,,
41,3,25,Cook until it turns orangey,,
42,3,26,You can also add the seasoning,,
43,5,1,Heat the cooking oil in a pan,,
44,5,2,"Once the oil becomes hot, saute the garlic and onion",,
45,5,3,Put-in the pork and then cook for 5 minutes or until color turns medium brown,,
46,5,4,Pour-in half of the beef broth,,
47,5,5,Let boil and simmer until the liquid totally evaporate,,
48,5,6,Put-in the cabbage,,
49,5,7,Cook for 1 to 2 minutes,,
50,5,8,Add the red bell pepper,,
51,5,9,Stir and cook for 1 minute more,,
52,5,10,Add salt and pepper to taste,,
53,5,11,Pour-in remaining beef broth,,
54,5,12,Let boil,,
55,5,13,Stir,,
56,5,14,Transfer to a serving bowl,,
57,5,15,Serve,,
58,5,16,Share and enjoy!,,
59,6,1,Heat cooking oil in a pan,,
60,6,2,Fry the tofu in medium heat for about 4 to 5 minutes per side,,
61,6,3,Turn off heat Remove the tofu from the pan and let cool,,
62,6,4,Slice the fried tofu into small cubes Set aside,,
63,6,5,"On the same pan, remove excess cooking oil until about 1 tablespoon of oil is left",,
64,6,6,Heat the pan Saut?Ÿ?? garlic and onion for about 2 minutes,,
65,6,7,Put-in the sliced tofu and cook for 2 to 3 minutes,,
66,6,8,Add the oyster sauce and ground black pepper,,
67,6,9,Stir Put-in the kangkong,,
68,6,10,Stir fry for 4 to 5 minutes,,
69,6,11,Add salt to taste and then put-in the chilies,,
70,6,12,Turn off heat Transfer to a serving plate,,
71,6,13,Serve,,
72,6,14,Share and enjoy,,
73,4,1,Drain sardines and place in small mixing bowl,,
74,4,2,"Add next 5 ingredients, mix well",,
75,4,3,Toast bread add sardine mixture evenly to 3 slices of toasted bread,,
76,4,4,Add greens Cover with remaining toast,,
77,7,1,You start by boiling the eggplant until its tender then remove the skin and chop,,
78,7,2,"In a pan, make it nice and hot saut?Ÿ?? the garlic onions and tomatoes over medium to hight heat",,
79,7,3,Once you can already smell the aroma of the vegetables add in the chopped eggplant and toss in your Knorr Chicken cubes,,
80,7,4,"Continue saut?Ÿ??ing for 5 minutes Add the scrambled eggs on top of the vegetables, try covering all sides",,
81,7,5,Continue to cook for about 3 minutes or until the egg is fully cooked,,
82,7,6,Now it&#039;s ready serve,,
83,8,1,"In a medium-sized pan make it nice and warm over high-medium heat, add oil and saut?Ÿ?? onions until soft and brown",,
84,8,2,Add water ketchup and crushed Knorr Chicken cubes,,
85,8,3,Let it boil until everything is dissolved and mixed properly,,
86,8,4,Lower the heat to simmer,,
87,8,5,Add in the sliced pechay and egg halves,,
88,8,6,Continue to simmer until pechay is cooked,,
89,8,7,Try not to stir too much to prevent the eggs from deforming,,
90,8,8,Add the fried tofu cubes,,
91,8,9,Continue to simmer for 2-3 minutes,,
92,8,10,Serve hot and Enjoy,,
93,8,1,Heat oil in cooking pot,,
94,9,2,Put-in ginger and cook for a minute,,
95,9,3,Add the corn and chicken stock,,
96,9,4,Stir and let boil,,
97,9,5,"Put-in the chicken, soy sauce, sesame oil, salt, and pepper",,
98,9,6,Let boil and cook for 7 to 10 minutes,,
99,9,7,Combine cornstarch with cold water and mix well,,
100,9,8,Add-in the mixture and stir continuously while cooking,,
101,9,9,Stir in the beaten eggs,,
102,9,10,Continue stirring to prevent the eggs from forming,,
103,9,11,Add the green onions and cook for another 2 minutes,,
104,9,12,Transfer to a serving bowl,,
105,9,13,Serve share and enjoy!,,
106,10,1,Place the ampalaya in a large bowl,,
107,10,2,Add salt and lukewarm water then leave for 5 minutesPlace the ampalaya in a cheesecloth then squeeze tightly until all liquid drips,,
108,10,3,Heat the pan and place the cooking oil,,
109,10,4,"Saute the garlic, onion, and tomato",,
110,10,5,Add the ampalaya mix well with the other ingredients,,
111,10,6,Put-in salt and pepper to taste,,
112,10,7,Beat the eggs and pour over the ampalaya then let the eggs cook partially,,
113,10,8,Mix the egg with the other ingredientsServe hot,,
114,10,9,Share and Enjoy!,,
115,11,1,"In a deep pan, heat and add olive oil",,
116,11,2,"Saute onion, garlic tomatoes and chicken bouillon for few minutes",,
117,11,3,Add ground pork and stir,,
118,11,4,Cook for 5-10 minutes over medium low heat until light brown and fully cooked,,
119,11,5,Pour-in water and bring into a quick boil,,
120,11,6,Cover pan and reduce heat to simmer to about 10 minutes,,
121,11,7,Taste to see is salt is needed,,
122,11,8,Add accordingly,,
123,11,9,Add pechay and stir,,
124,11,10,Simmer for 2 minutes,,
125,11,11,Transfer in a serving dish and serve hot with steamed rice Enjoy!,,
126,12,1,Start by getting your pan nice and hot over high heat,,
127,12,2,Add oil and saut?Ÿ?? garlic onion and tomatoes until soft,,
128,12,3,Add the rest of the okra shredded tinapa Knorr Pork Cubes and water,,
129,12,4,Let it simmer for about 5 minutes and thats it,,
130,13,1,In a medium pan get it nice and war over high-medium heat add in the oil and saut?Ÿ?? the onions and garlic until soft and brown,,
131,13,2,Add in the ampalaya leaves water Knorr Chicken Cubes and deboned tinapa flakes,,
132,13,3,Let the dish simmer until all ingredients are fully cooked,,
133,14,1,Heat the cooking oil in a pan,,
134,14,2,"Saut?Ÿ?? the garlic, onion, and tomato When the tomato becomes soft add the ground pork and then cook for 6 to 8 minutes",,
135,14,3,Put-in the chayote,,
136,14,4,Stir Cover Let boil and simmer for 7 to 10 minutes,,
137,14,5,Add salt and ground black pepper,,
138,14,6,Stir Serve with hot rice Share and enjoy!,,
139,15,1,Begin by getting a bowl and combine rock salt and banana heart,,
140,15,2,Leave this for 10 minutes Wash and squeeze well and repeat the process 2 - 3 times,,
141,15,3,Drain excess water,,
142,15,4,Set aside Get another bowl and combine the eggs banana heart garlic onions carrots dissolved Knorr Pork Cubes and 2 tbsp flour,,
143,15,5,Mix this well and shape into balls,,
144,15,6,Prepare 3 shallow trays for flour egg and breadcrumb mixture,,
145,15,7,"Coat the banana heart balls in flour, dip it in beaten egg before rolling it in breadcrumbs",,
146,15,8,Fry the banana balls in a preheated pan filled with cooking oil and cook until brown in color,,
147,15,9,Get ready to taste and pair this with your favourite condiment of ketchup or sweet chili sauce,,
148,15,10,You will just love how delicious and healthy this dish is,,
149,16,1,First get a pot and get it nice and hot over medium high heat,,
150,16,2,Pour some oil and throw in the onion and half of the ginger,,
151,16,3,Gently add the chicken and saut?Ÿ?? for a good 1 minute,,
152,16,4,Drizzle fish sauce over and mix this well,,
153,16,5,Place the sayote and coconut meat before pouring the coconut water and the remaining ginger,,
154,16,6,Let this simmer for a minute before adding the Knorr Chicken Cubes,,
155,16,7,When the Chicken and vegetables are cooked through top the Tinola with dahon ng sili and simmer for another minute,,
156,16,8,This Tinola sa Buko definitely soothes and comforts,,
157,16,9,Serve this to your family and see their love for you grow immensely,,
158,17,1,Begin by getting your pan nice and hot over medium high heat,,
159,17,2,Pour some oil and throw in the garlic and saut?Ÿ?? this until lightly brown,,
160,17,3,"Into the pan toss the beef and saut?Ÿ?? a good 1 minute over high heat, continue cooking until meat turns brown",,
161,17,4,Remove the meat and set this aside,,
162,17,5,"Using the same pan, add the water next and bring this to a boil before adding the Knorr Beef Cube and sigarilyas",,
163,17,6,Simmer until the vegetable is cooked,,
164,17,7,Return the beef back and just give this a nice sprinkle of Knorr Liquid Seasoning sugar and pepper,,
165,17,8,Mix well before adding the cornstarch dissolved in water,,
166,17,9,Continue to cook until sauce thickens and thats our dish Just taste and adjust the seasoning,,
167,18,1,"In a large pot Add the water place the cubed squash, chopped onion and Knorr Chicken Cubes and let it simmer until the squash cubes are fork tender",,
168,18,2,Once the squash is soft and tender add the malunggay leaves and let it simmer for about 1 minute,,
169,18,1,Begin by making the annatto seed oil by saut?Ÿ??ing 1 tablespoon of atsuete seeds in 3 tablespoons vegetable oil,,
170,18,2,"Once the seeds turn dark, remove and discard",,
171,18,3,Next peel back corn husks making sure they are still attached,,
172,18,4,Remove and discard silk or corn hair,,
173,18,5,Pull the husks back over the corn and let it soak in cold water for about 10 minutes (this is to prevent the corn from burning when grilling),,
174,18,6,"Set the grill on high heat and grill the corn, rotating occasionally until the husks are slightly charred and corn is tender",,
175,18,7,This will take about 15 to 20 minutes,,
176,18,8,Get a bowl and combine softened butter Knorr Liquid Seasoning Knorr Chicken Cube grated ginger and annatto seed oil,,
177,18,9,Carefully peel back husks with towel using a knife,,
178,18,10,Brush to coat the kernels with Knorr inasal mixture and that?›ƒ?ªƒ?›s it,,
179,18,11,Serve hot with your favourite grilled meat or eat as is,,
180,18,12,This will definitely make your day,,
181,19,1,Begin by making the annatto seed oil by saut?Ÿ??ing 1 tablespoon of atsuete seeds in 3 tablespoons vegetable oil,,
182,19,2,"Once the seeds turn dark, remove and discard",,
183,19,3,Next peel back corn husks making sure they are still attached,,
184,19,4,Remove and discard silk or corn hair,,
185,19,5,Pull the husks back over the corn and let it soak in cold water for about 10 minutes (this is to prevent the corn from burning when grilling),,
186,19,6,"Set the grill on high heat and grill the corn, rotating occasionally until the husks are slightly charred and corn is tender",,
187,19,7,This will take about 15 to 20 minutes,,
188,19,8,Get a bowl and combine softened butter Knorr Liquid Seasoning Knorr Chicken Cube grated ginger and annatto seed oil,,
189,19,9,Carefully peel back husks with towel using a knife,,
190,19,10,Brush to coat the kernels with Knorr inasal mixture and that?›ƒ?ªƒ?›s it,,
191,19,11,Serve hot with your favourite grilled meat or eat as is,,
192,19,12,This will definitely make your day,,
193,20,1,Heat a cooking pot then and add the bacon fat,,
194,20,2,Saut?Ÿ?? the ginger for 1 to 2 minutes,,
195,20,3,Add the chicken and cook until outer part turns brown,,
196,20,4,Pour-in the fish sauce and cook in low heat for 5 minutes,,
197,20,5,Pour the chicken broth and increase the heat to medium then let boil,,
198,20,6,Simmer for 30 minutes or until the chicken is tender and at least half of the liquid evaporates,,
199,20,7,Add the spinach and cook for a few seconds,,
200,20,8,Turn of heat and cover for at least 2 minutes to further cook the spinach,,
201,20,9,Transfer to a serving bowl and serve share and enjoy!,,
202,21,1,Bring the mung beans and the water to a boil in a pot cook at a boil until the beans are soft about 40 minutes,,
203,21,2,Mash the beans set aside,,
204,21,3,Heat the olive oil in a large pot cook and stir the onion and garlic in the hot oil over medium heat until softened 5 to 7 minutes,,
205,21,4,Add the pork season with salt and pepper,,
206,21,5,Continue cooking the mixture another 3 minutes,,
207,21,6,Gently stir the prawns into the mixture cook 2 minutes more,,
208,21,7,Add the tomatoes cook another 3 minutes,,
209,21,8,Reduce heat and pour the chicken broth over the mixture allow the mixture to simmer in the broth for 5 minutes,,
210,21,9,Add the mashed beans to the soup; mix well,,
211,21,10,"Cook another 5 minutes, stirring frequently to prevent any of the mixture from sticking to the bottom of the pot",,
212,21,11,Add more chicken broth or water if the soup is too thick,,
213,21,12,Stir the spinach leaves into the soup and cook 2 minutes more before serving hot,,
214,22,1,Fry the tofu,,
215,22,2,Same pan saute garlic onion tomatoes and let the chicken cube dissolved,,
216,22,3,Mix well the tofu,,
217,23,1,Cut the sitaw into uniform lengths to ensure even cooking,,
218,23,2,For the best texture do not overcook the long beans,,
219,23,3,"Allow the adobo sauce to reduce before adding the sitaw, increase the heat and then stir-fry the vegetable just until tender-crisp",,
220,23,4,"To add an extra depth of flavor, stir in 1 to 2 tablespoons of oyster sauce",,
221,23,5,Want a bit of heat? Add dried red chili pepper flakes to taste!For crunch and to amp up the presentation garnish with toasted garlic bits before serving,,
222,23,1,Cut the sitaw into uniform lengths to ensure even cooking,,
223,23,2,For the best texture do not overcook the long beans,,
224,23,3,"Allow the adobo sauce to reduce before adding the sitaw, increase the heat and then stir-fry the vegetable just until tender-crisp",,
225,23,4,"To add an extra depth of flavor, stir in 1 to 2 tablespoons of oyster sauce",,
226,23,5,Want a bit of heat? Add dried red chili pepper flakes to taste!For crunch and to amp up the presentation garnish with toasted garlic bits before serving,,
227,24,1,"In a wide pan over medium heat, heat about 3 tablespoons of the oil",,
228,24,2,Add eggplant and cook until lightly browned,,
229,24,3,Remove from pan and drain on paper towels,,
230,24,4,In the pan heat the remaining 1 tablespoon oil,,
231,24,5,Add garlic and cook stirring regularly until lightly browned,,
232,24,6,"Add vinegar water and soy sauce and bring to a boil uncovered and without stirring, for about 2 to 3 minutes until slightly reduced",,
233,24,7,Add eggplant and chili peppers,,
234,24,8,"Cook, covered, for about 4 to 5 minutes or until tender",,
235,24,9,Season with salt and pepper to taste,,
236,24,10,Serve hot,,
237,25,1,Heat oil in a pan,,
238,25,2,Saut?Ÿ?? garlic and tomato,,
239,25,3,Add the pork,,
240,25,4,Cook for 3 minutes,,
241,25,5,Pour 1 cup water,,
242,25,6,Let boil,,
243,25,7,Adjust the heat to medium and then continue to cook until the liquid completely evaporates,,
244,25,8,Add the sliced upo,,
245,25,9,Stir and then cook for 5 minutes,,
246,25,10,Season with ground black pepper and fish sauce,,
247,25,11,Add water Cook for 2 minutes,,
248,25,12,Transfer to a serving bowl,,
249,25,13,ServeShare and enjoy,,
250,26,1,In a medium pot get it nice and warm over medium-high heat,,
251,26,2,Add the oil then saut?Ÿ?? onions and garlic until soft and aromatic,,
252,26,3,"Put in the sliced potatoes, then add your Knorr chicken cubes and water",,
253,26,4,Let it boil then lower the heat to simmer,,
254,26,5,Cook until potatoes are nice and tender,,
255,26,6,Season with salt and pepper to taste,,
256,27,1,In a non-stick pan add a small amount of oil then pan fry cubed potatoes until golden brown on some sides and crunchy,,
257,27,2,Season eggs with salt then pour into the pan making sure potatoes are coated with egg continue to cook  until eggs are set and firm,,
258,27,3,Remove from pan then serve enjoy on its own or with ketchup,,
259,28,1,Rub salt all over the fish,,
260,28,2,Let it stay for 5 minutes,,
261,28,3,Distribute the pork fat in a cooking pot,,
262,28,4,Add kamias onion tomato ginger and long green pepper,,
263,28,5,Arrange the fish over the ingredients and season with ground black pepper,,
264,28,6,Pour water into the pot,,
265,28,7,Cover it and turn the stove on,,
266,28,8,Let the water boil,,
267,28,9,Adjust heat to low,,
268,28,10,Continue cooking for 15 minutes,,
269,28,11,Adjust the seasoning by adding salt if needed,,
270,28,12,Continue cooking without covering the pot until the sauce reduces to half,,
271,28,13,Transfer to a serving plate,,
272,28,14,Serve with warm rice Share and enjoy!,,
273,29,1,Cook this delightful and pleasing soup in an instant,,
274,29,2,"You just need to grab a pot and with a little bit of oil, over medium high heat, saut?Ÿ?? chicken breasts and crushed garlic together",,
275,29,3,"Now, you have to stir this well and pour a little water to prevent the chicken and garlic from sticking to the pan",,
276,29,4,Now you will see that the chicken will turn white,,
277,29,5,"Pour 4 cups of water, add Knorr Chicken Cubes and bring this to a boil",,
278,29,6,You should be able to smell the aroma of the cooked chicken in the broth,,
279,29,7,Next lower the hear to medium-low setting then drop the upo and patola into the pot and let these simmer for another 3 minutes before adding the raw egg,,
280,29,8,Add the misua and bring to a boil until cooked,,
281,29,9,Go that extra mile when you serve this dish to your family by topping your soup with boiled eggs just before serving,,
282,29,10,A little love goes a long way,,
283,30,1,Begin by getting your pan nice and hot over medium high heat,,
284,30,2,Pour some oil and throw in the onion and garlic and just saut?Ÿ?? until toasted,,
285,30,3,Gently add the carrots and tinapa flakes in and give this a minute to cook,,
286,30,4,Pour in the Knorr Liquid Seasoning and mix this well,,
287,30,5,Remove from heat and set aside to cool down,,
288,30,6,"Now place a spoonful of the mixture in the lumpia wrapper, roll into a log and seal with a flour-water mixture or beaten egg",,
289,30,7,Deep fry in hot oil until brown and crisp,,
290,30,8,Drain on a plate lined with paper towels and that?›ƒ?ªƒ?›s our dish! You will definitely eat more than usual when your mom serves you Crispy Tinapa Rolls,,
291,30,9,This recipe will surely keep you coming back for more!,,
292,31,1,Line each pan with Banana leaf then grease with melted butter,,
293,31,2,Set aside,,
294,31,3,For the Bibingka mixture: Sift together Cake flour Rice flour Sugar and baking powder,,
295,31,4,Add in the coconut milk melted margarine eggs and grated Eden Original,,
296,31,5,Mix until blended,,
297,31,6,Pour Bibingka mixture onto the prepared pans,,
298,31,7,Top with sliced Salted Egg,,
299,31,8,Steam for 15-20 minutes or until the center is firm,,
300,31,9,Let it cool,,
301,31,10,Slightly grill the bottom part over low flame,,
302,31,11,Brush with melted margarine then top with Eden Original strips and granulated sugar,,
303,31,12,Optional To make the top golden brown in color bake for at least 3-5 minutes using an oven toaster,,
304,32,1,"To prepare the crust, combine all the ingredients until well incorporated",,
305,32,2,Press into the bottom of a 7?›ƒ?ª? cake or spring form pan and chill for 10-15 minutes,,
306,32,3,"To make the Cheesecake base, mix the cream cheese, sugar and vanilla until well combined",,
307,32,4,"In a small pot, melt the gelatin over low heat until dissolved then gradually add into the cream cheese mixture",,
308,32,5,Mix until well blended,,
309,32,6,Fold the whipped cream into cream cheese mixture,,
310,32,7,Pour and spread into the prepared crust,,
311,32,8,Freeze for atleast 4 hours or until set,,
312,32,9,Top with whipped cream and OREO Cookies,,
313,33,1,To prepare the filling mix together Eden cream cheese whipped Nestle All-Purpose Cream and condensed milk until fully combined,,
314,33,2,Add in half of the sliced Mango,,
315,33,3,To assemble layer the Graham Crackers then add in 1 cup of the mixture,,
316,33,4,Repeat until you created four layers of Graham Crackers and filling,,
317,33,5,Top with the remaining sliced Mango chill for at least 4 hours then serve,,
318,34,1,Roll the banana on the brown sugar,,
319,34,2,Place the banana with sugar coating in the lumpia wrapper,,
320,34,3,Add Eden cheese slices,,
321,34,4,Fold and lock the wrapper then use water to seal the edge,,
322,34,5,In a pan heat the oil,,
323,34,6,Put in the wrapped banana and fry until the wrapper turns golden brown,,
324,34,7,Serve warm,,
325,35,1,Pour the coconut milk in a pot and bring to a boil,,
326,35,2,"Add the sugar, condensed milk, and whole sweet kernel corn",,
327,35,3,Stir until all the ingredients are evenly distributed,,
328,35,4,Simmer for 8 minutes,,
329,35,5,Dilute the cornstarch in the milk,,
330,35,6,Pour the mixture in the pot and stir thoroughly,,
331,35,7,Cook while stirring until the mixture reaches your desired thickness,,
332,35,8,Stir in Eden cheese,,
333,36,1,Preheat the oven to 325F,,
334,36,2,Line cookie sheet with parchment paper or foil,,
335,36,3,Combine all the ingredients in a large bowl,,
336,36,4,Stir until well combined,,
337,36,5,"Drop dough by rounded tablespoons, 1 inch apart, on prepared cookie sheets",,
338,36,6,Bake for 25 minutes until lightly golden,,
339,36,7,Cool for 1 minute,,
340,36,8,May be served warm or at room temperature,,
341,37,1,In a bowl combine chicken red chili powder white pepper powder dried basil dried parsley dried rosemary corn flour ginger garlic mint leaves and green chili,,
342,37,2,Mix well,,
343,37,3,Form 2-inch balls from chicken mixture and place on a lined baking pan,,
344,37,4,Flatten each ball place a cheese cube and roll back into a ball,,
345,37,5,Repeat the process,,
346,37,6,Dip each ball in the egg white and coat evenly with breadcrumbs,,
347,38,1,"In a bowl, combine the flour, cornstarch, egg, garlic, water, fish sauce, and pepper",,
348,38,2,Mix until free from lumps,,
349,38,3,"Add the squash, green onions, carrots, and shrimp",,
350,38,4,"In a frying pan, heat the oil and deep fry the fritters until crispy and lightly brown",,
351,38,5,"Once cooked, drain the okoy fritters on a paper towel",,
352,38,6,Top with grated Eden Original cheese while hot then serve,,
353,39,1,Cut the camote into strips,,
354,39,2,Add the brown sugar and flour to the water and stir until well blended,,
355,39,3,Mix the camote strips and flour mixture with a spoon,,
356,39,4,Heat the oil in a frying pan or deep pan,,
357,39,5,Fry battered camote until golden brown,,
358,39,6,Mix grated Eden cheese and sugar on a plate,,
359,39,7,Roll maruya in the mixture before serving on top of banana leaves,,
360,40,1,Brush the one side of each tortilla with butter,,
361,40,2,"Place the two tortillas, buttered side down, on a griddle",,
362,40,3,"Add the Eden cheese, onion, tomato, and chicken",,
363,40,4,"Top with the remaining tortillas, buttered side up",,
364,40,5,Cook over medium heat for 3-4 minutes on each side or until lightly browned,,
365,40,6,Cut into wedges,,
366,41,1,Fill a large pot with lightly salted water and bring to a rolling boil; stir in vermicelli pasta and return to a boil,,
367,41,2,"Cook pasta uncovered, stirring occasionally, until the pasta is tender yet firm to the bite, 3 to 5 minutes",,
368,41,3,Fill a large bowl with warm water,,
369,41,4,Dip one wrapper into the hot water for 1 second to soften,,
370,41,5,"Lay wrapper flat; place 2 shrimp halves in a row across the center, add some vermicelli, lettuce, mint, cilantro, and basil, leaving about 2 inches uncovered on each side",,
371,41,6,"Fold uncovered sides inward, then tightly roll the wrapper, beginning at the end with lettuce",,
372,41,7,Repeat with remaining ingredients,,
